NameOfComponent;CurrentStatus;Language
[;unwritten;none
arch;unwritten;c
b2sum;unwritten;none
base32;unwritten;none
base64;unwritten;none 
basename;unwritten;none
basenc;unwritten;none
cat;unwritten;none
chcon;unwritten;none
chgrp;unwritten;none
chmod;unwritten;none
chown;unwritten;none
chroot;unwritten;none
cksum;unwritten;none
comm;unwritten;none
cp;unwritten;none
csplit;unwritten;none
cut;unwritten;none
date;unwritten;none
dd;unwritten;none
df;unwritten;none
dir;unwritten;none
dircolors;unwritten;none
dirname;unwritten;none
du;unwritten;none
echo;unwritten;none
env;unwritten;none
expand;unwritten;none
expr;unwritten;none
factor;unwritten;none
false;unwritten;none
fmt;unwritten;none
fold;unwritten;none
groups;unwritten;none
head;unwritten;none
hostid;unwritten;none
hostname;unwritten;none
id;unwritten;none
install;unwritten;none
join;unwritten;none
kill;unwritten;none
link;unwritten;none
ln;unwritten;none
logname;unwritten;none
ls;unwritten;none
md5sum;unwritten;none
mkdir;unwritten;none
mkfifo;unwritten;none
mknod;unwritten;none
mktemp;unwritten;none
mv;unwritten;none
nice;unwritten;none
nl;unwritten;none
nohup;unwritten;none
nproc;unwritten;none
numfmt;unwritten;none
od;unwritten;none
paste;unwritten;none
pathchk;unwritten;none
pinky;unwritten;none
pr;unwritten;none
printenv;unwritten;none
printf;unwritten;none
ptx;unwritten;none
pwd;unwritten;none
readlink;unwritten;none
realpath;unwritten;none
rm;written;swift
rmdir;unwritten;none
runcon;unwritten;none
seq;unwritten;none
sha1sum;unwritten;none
sha224sum;unwritten;none
sha256sum;unwritten;none
sha384sum;unwritten;none
sha512sum;unwritten;none
shred;unwritten;none
shuf;unwritten;none
sleep;unwritten;none
sort;unwritten;none
split;unwritten;none
stat;unwritten;none
stdbuf;unwritten;none
stty;unwritten;none
sum;unwritten;none
sync;unwritten;none
tac;unwritten;none
tail;unwritten;none
tee;unwritten;none
test;unwritten;none
timeout;unwritten;none
touch;unwritten;none
tr;unwritten;none
true;unwritten;none
truncate;unwritten;none
tsort;unwritten;none
tty;unwritten;none
uname;unwritten;none
unexpand;unwritten;none
uniq;unwritten;none
unlink;unwritten;none
uptime;unwritten;none
users;unwritten;none
vdir;unwritten;none
wc;unwritten;none
who;unwritten;none
whoami;unwritten;none
yes;unwritten;none
